danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.65,0.791,C#,-5.775,minor,0.0311,0.284,0.491,0.0668,0.89,120.048,4bCmqEqtWKdeZo299Uw6zD,242093,4,C# minor
0.591,0.474,A,-6.927,major,0.0288,0.0355,0.00612,0.228,0.137,137.053,0gZd7R6Mdy9bps8d8qv1IV,213333,4,A major
0.54,0.803,G,-8.663,major,0.0417,7.24e-4,6.6e-6,0.207,0.416,159.98,3EOIiQyhKA0ehAeia7pdcB,269760,4,G major
0.46,0.575,E,-8.066,major,0.041,0.2,1.05e-6,0.142,0.629,120.056,5zUCUKp6zPDHDYpp9PQHjE,267160,4,E major
0.837,0.422,E,-8.165,major,0.0429,0.0352,1.76e-5,0.0737,0.691,120.058,3HuxezAhMoZoGkq3m0gbLd,21e4,4,E major
0.46,0.744,A,-3.977,minor,0.0261,0.00153,0.00369,0.295,0.574,180.082,7eczQ1fhZT4Ie7YBcqY2vw,176320,4,A minor
0.545,0.944,C#,-6.722,major,0.051,0.00983,3.47e-5,0.104,0.465,94.019,6kw5lItk91eQBIjRKzWRaq,349787,4,C# major
0.603,0.648,C#,-10.31,major,0.0255,0.325,0.877,0.115,0.355,102.041,7M6dCG6b4wHuJttIoa0klT,257373,4,C# major
0.39,0.366,C,-9.858,major,0.0336,0.76,1.49e-4,0.257,0.232,122.196,3fnwGzMvP1nhhickgRS8RQ,322973,3,C major
0.662,0.581,D,-6.519,major,0.0273,0.229,0.012,0.0813,0.289,100.985,3SE4Wd2lnk8Y0U0UkHWNug,291547,4,D major
0.603,0.783,F#,-4.023,major,0.062,0.449,7.96e-6,0.119,0.775,172.041,37y7iDayfwm3WXn5BiAoRk,173104,4,F# major
0.539,0.685,C#,-6.999,major,0.0444,0.559,1.35e-5,0.132,0.627,129.709,7mpZ72JnzbEZFRSVK8i9zA,276e3,4,C# major
0.65,0.686,E,-5.198,minor,0.0314,0.514,1.88e-4,0.138,0.497,124.023,3NzLIbvq342cvzDlDH33RV,176147,4,E minor
0.235,0.518,C,-9.083,major,0.0346,0.393,2.7e-4,0.15,0.175,76.245,3AwGnV8kQXpLuVo7sbHG7e,304893,4,C major
0.575,0.603,D,-8.2,major,0.0376,0.101,0.0381,0.0858,0.12,107.947,2Dv7PTwSoB17f3VFDIKw8m,239013,4,D major
0.71,0.959,C#,-6.697,minor,0.209,0.149,2.1e-5,0.336,0.485,108.006,1uC6v7az1icYGdhsmqr57M,255333,4,C# minor
0.516,0.858,F,-3.702,major,0.0316,0.00125,0.00166,0.0806,0.747,89.967,4Vi33xcMvd73nJzH2muX1a,220690,4,F major
0.547,0.345,A#,-11.265,major,0.0501,0.479,0.00598,0.0857,0.113,70.014,1RkASGekurX1rRNucZYwI3,317143,4,A# major
0.82,0.505,E,-7.481,minor,0.0667,0.0121,2.6e-5,0.222,0.63,117.94,3EuSjRC1jKGe6h3Nc9haWn,176639,4,E minor
0.537,0.533,F,-7.867,minor,0.344,0.494,0,0.099,0.526,79.744,4QbPrLWca2IT0X2eG1b82Q,258797,4,F minor
0.632,0.799,D,-7.344,major,0.027,0.165,0.274,0.2,0.961,97.017,6onGPPlA3MuXZdWqE5YBcX,210907,4,D major
0.581,0.951,F#,-4.113,minor,0.0998,0.213,5.77e-4,0.763,0.908,154.728,2EqEV5sJA5dtoLZFOrGuyg,240521,4,F# minor
0.798,0.528,B,-9.866,minor,0.17,0.021,0.0112,0.0806,0.868,125.005,1H1fBVS38oaNGSyAdY2P24,146400,4,B minor
0.434,0.502,F#,-7.343,minor,0.042,0.233,0.00966,0.0261,0.665,149.455,4txlcEq8XuZfJHdgCYffLK,340773,4,F# minor
0.402,0.406,F,-15.119,major,0.0652,0.75,0.791,0.114,0.243,109.946,1bAZV1EBTRi9t1cVg75i8t,332880,4,F major
0.437,0.321,D#,-14.36,major,0.0314,0.657,0.241,0.132,0.231,142.162,18MAV6Bjv5S06oz8hNMtWt,171114,4,D# major
0.476,0.861,G#,-4.165,minor,0.05,0.0135,0.561,0.258,0.582,77.034,11tyPK6BsOHJAQtRDO74NV,264040,4,G# minor
0.55,0.673,D#,-6.49,minor,0.0366,0.447,0.714,0.585,0.596,142.034,49iNmEho4raSFPfEh1vSax,203651,4,D# minor
0.611,0.707,F#,-8.363,major,0.0287,0.32,0.911,0.0851,0.534,140.003,6emolBBovdwCOZAnjxEG6r,282093,4,F# major
0.651,0.811,D,-8.132,major,0.0553,0.225,0.00268,0.0877,0.395,102.033,0KJAen5CpEWnk0721d5Q4P,297589,4,D major
0.701,0.665,D,-8.239,major,0.0357,0.228,5.27e-4,0.106,0.743,106.975,2egla41qfBZCAE0fWUzKM3,168828,4,D major
0.589,0.815,F#,-6.612,major,0.316,0.478,0,0.302,0.671,91.538,5igkLLTiaLm5MMUe7AZpYN,165919,4,F# major
0.508,0.456,D,-13.441,major,0.842,0.714,7.43e-4,0.433,0.545,70.631,1BxfyLcmrySMwjhV3uJRQ6,119073,1,D major
0.728,0.612,G,-10.106,major,0.0499,0.0941,0.188,0.399,0.437,130.016,5RrWu7ddslbnrRImeW7LOs,291600,4,G major
0.563,0.66,B,-6.493,major,0.0401,0.0303,0.0149,0.117,0.285,76.004,2bHiC5Bd7ZxB97U0ac7zG3,206467,4,B major
0.687,0.529,A,-11.067,minor,0.344,0.334,0,0.0858,0.166,108.966,1pXmvZA7hdVGtvaAKy9JGJ,281854,4,A minor
0.706,0.808,E,-9.199,minor,0.123,0.116,0.667,0.235,0.673,146.947,3kBPnItITm3Od2IVhuJPxf,243783,4,E minor
0.327,0.844,C,-5.269,minor,0.0384,0.00396,0.758,0.151,0.0365,180.053,33m0aVQvsfvanuwG6rByrd,136667,3,C minor
0.638,0.694,G,-5.591,major,0.0256,0.0355,0.0174,0.109,0.179,98.984,5azYPsLCPQXetrJJVIp544,229611,4,G major
0.427,0.539,D,-6.183,major,0.0324,0.474,0.0229,0.126,0.118,84.908,0LEegijpwlxZMjmRtFXPZt,234973,4,D major
