year,race,networth,pctle,diff,nw07
2010,White,223718.541601745,60,-62774.373840631975,286492.915442377
2013,White,223749.709302326,60,-62743.206140050985,286492.915442377
2016,White,249250,60,-37242.91544237698,286492.915442377
2007,White,294830.623571662,61,0,294830.623571662
2010,White,235390.81333748804,61,-59439.81023417396,294830.623571662
2013,White,234266.976744186,61,-60563.64682747601,294830.623571662
2016,White,261e3,61,-33830.623571662,294830.623571662
2007,White,305947.567744042,62,0,305947.567744042
2010,White,247593.642879402,62,-58353.92486464002,305947.567744042
2013,White,247062.985465116,62,-58884.58227892601,305947.567744042
2016,White,271790,62,-34157.567744042026,305947.567744042
2007,White,321939.755142018,63,0,321939.755142018
2010,White,262073.449672795,63,-59866.305469223036,321939.755142018
2013,White,258446.380813953,63,-63493.37432806502,321939.755142018
2016,White,282340,63,-39599.755142018024,321939.755142018
2007,White,333624.126673196,64,0,333624.126673196
2010,White,273734.66812091,64,-59889.45855228597,333624.126673196
2013,White,267473.702034884,64,-66150.42463831196,333624.126673196
2016,White,297e3,64,-36624.12667319598,333624.126673196
2007,White,347230.803134182,65,0,347230.803134182
2010,White,285373.779993768,65,-61857.02314041398,347230.803134182
2013,White,279016.918604651,65,-68213.884529531,347230.803134182
2016,White,311500,65,-35730.803134182,347230.803134182
2007,White,360026.869082599,66,0,360026.869082599
2010,White,298538.245559364,66,-61488.62352323503,360026.869082599
2013,White,289843.51744186,66,-70183.35164073901,360026.869082599
2016,White,320930,66,-39096.869082599005,360026.869082599
2007,White,373517.744041789,67,0,373517.744041789
2010,White,310529.957307572,67,-62987.78673421696,373517.744041789
2013,White,302422.994186047,67,-71094.74985574197,373517.744041789
2016,White,338700,67,-34817.744041788974,373517.744041789
2007,White,387587.626509958,68,0,387587.626509958
2010,White,321650.669990651,68,-65936.95651930699,387587.626509958
2013,White,315827.354651163,68,-71760.27185879502,387587.626509958
2016,White,357500,68,-30087.626509958005,387587.626509958
2007,White,400638.455762325,69,0,400638.455762325
2010,White,336019.943907759,69,-64618.51185456599,400638.455762325
2013,White,332531.25,69,-68107.20576232497,400638.455762325
2016,White,379600,69,-21038.45576232497,400638.455762325
2007,White,421749.069539667,70,0,421749.069539667
