danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.706,0.808,E,-9.199,minor,0.123,0.116,0.667,0.235,0.673,146.947,3kBPnItITm3Od2IVhuJPxf,243783,4,E minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Marble Machine,Wintergatan,Marble Machine,https://i.scdn.co/image/c525004710cacb7cb6b5c652000249d103820a84
0.854,0.463,F,-6.159,major,0.137,0.117,0,0.354,0.549,120.024,0b9oOr2ZgvyQu88wzixux9,225773,4,F major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,This Is America,Childish Gambino,This Is America,https://i.scdn.co/image/bda277aa41fad5507849e5d01540a920d1b41545
0.513,0.655,C,-11.554,minor,0.0407,0.14,0.841,0.35,0.226,120.013,6twjlw8Pfa7RHO3KT2vlCh,288042,4,C minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Every Passing Hour,Helios,Yume,https://i.scdn.co/image/f15a9243ddc3de6772c224b92b88581e4ad44816
0.259,0.669,G,-5.991,major,0.0407,0.17,9.94e-4,0.064,0.3,185.04,2iLpAz1XOSmywKGf0Nsz2E,204295,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Dreams Of Cannibalism,Typhoon,White Lighter,https://i.scdn.co/image/6864ac44bae728609c554384c1089472416287b1
0.653,0.777,D,-7.484,minor,0.0304,5.98e-4,0.0676,0.0858,0.436,126.985,4zGUmPy29cOpbBb84TOrL5,218720,4,D minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Wolves At The Door,David Bazan,Strange Negotiations,https://i.scdn.co/image/3f76ee93dc31c3e692cc6ba1588329da25304de1
0.768,0.471,D,-8.406,major,0.259,0.0201,0,0.268,0.405,131.023,4LmAnpjlhWTahvRkYR8xJa,267427,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,X (with 2 Chainz & Saudi),ScHoolboy Q,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/2bd50294b0b2874d3182fa31a6fb825784e6e395
0.327,0.694,D,-1.348,major,0.0399,0.26,4.38e-4,0.307,0.204,122.633,1Vb9ic3vxp2is0nouMZjCe,218099,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,fuck these foolz that are making valencia street unchill,Field Medic,Songs from the Sunroom,https://i.scdn.co/image/66d7ec7f3d7f85bd88fffbe031b281eed9cd48cd
0.423,0.551,G#,-7.91,major,0.326,0.938,0,0.284,0.37,92.83,0cXqOcX9uxL0KU9YXvfDFZ,287413,4,G# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Magnolia,Lushlife,Plateau Vision,https://i.scdn.co/image/4a28753366fe8a8e95c779d2dc9f104f559ba6ce
0.555,0.806,F#,-4.36,major,0.0268,0.0628,0.146,0.114,0.566,99.994,6x5nay7lGej5HlPJVvAJ2p,248747,4,F# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Dim the Lights,Wild Ones,Dim the Lights,https://i.scdn.co/image/ace5fbbbed6a5c6c5f0d9e12e2f74fcb25bcaab0
0.586,0.584,A,-9.235,major,0.0253,0.00894,0.848,0.11,0.728,150.059,0k3oiDzRA2ULlbBQKWImKD,234560,4,A major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,I Like Van Halen Because My Sister Says They Are Cool,El Ten Eleven,These Promises Are Being Videotaped,https://i.scdn.co/image/7177077c7101dc70913768b09f42ac73d6b968a1
